,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
73,Auraria,39.7462505,-105.0022825,Bistro Vendome,39.74758615298366,-104.99906626686852,French Restaurant
74,Auraria,39.7462505,-105.0022825,Boettcher Concert Hall,39.7444591985828,-104.99845605693795,Concert Hall
75,Auraria,39.7462505,-105.0022825,The Capital Grille,39.74799814075769,-104.99871959013868,American Restaurant
76,Auraria,39.7462505,-105.0022825,Osteria Marco,39.74807953965701,-104.99899093411048,Italian Restaurant
77,Auraria,39.7462505,-105.0022825,Temple Hoyne Buell Theater,39.74473688229625,-104.99797816205279,Theater
78,Auraria,39.7462505,-105.0022825,Patagonia,39.74946153820718,-105.0000895629771,Clothing Store
79,Auraria,39.7462505,-105.0022825,Rioja,39.747921,-104.999412,Mediterranean Restaurant
80,Auraria,39.7462505,-105.0022825,Four Seasons Spa,39.74662961036058,-104.99798149187289,Spa
81,Auraria,39.7462505,-105.0022825,Four Seasons Hotel Denver,39.746424975798554,-104.9984994101238,Hotel
82,Auraria,39.7462505,-105.0022825,Ellie Caulkins Opera House,39.74515752732853,-104.99740826148623,Opera House
83,Auraria,39.7462505,-105.0022825,Little Owl Coffee,39.75045153697557,-104.99965587666885,Coffee Shop
84,Auraria,39.7462505,-105.0022825,Zolarium Tanning Studio,39.749406352166034,-104.99905252687307,Tanning Salon
85,Auraria,39.7462505,-105.0022825,Tattered Cover Bookstore,39.75170514928343,-105.0008991149599,Bookstore
86,Auraria,39.7462505,-105.0022825,ChoLon Bistro,39.75056158248463,-104.99967314976035,Asian Restaurant
87,Auraria,39.7462505,-105.0022825,Orangetheory Fitness,39.75098128400561,-105.0037155557359,Gym
88,Auraria,39.7462505,-105.0022825,The Kitchen Denver,39.75118132946056,-105.00002242434076,New American Restaurant
89,Auraria,39.7462505,-105.0022825,The Cheesecake Factory,39.74897950804828,-104.99716500125064,American Restaurant
90,Auraria,39.7462505,-105.0022825,Pepsi Center,39.748608245193644,-105.00757084463541,Stadium
91,Auraria,39.7462505,-105.0022825,Big Blue Bear (I See What You Mean),39.74386013942204,-104.99524585708056,Outdoor Sculpture
92,Auraria,39.7462505,-105.0022825,Avelina,39.751873200856735,-104.99908613888313,Restaurant
93,Auraria,39.7462505,-105.0022825,Modern Market,39.7465895,-104.9943332,Sandwich Place
94,Auraria,39.7462505,-105.0022825,Bellco Theatre,39.7410444693893,-104.99840662000285,Theater
95,Auraria,39.7462505,-105.0022825,Renaissance Denver Downtown City Center Hotel,39.74737763629185,-104.99329626560217,Hotel
96,Auraria,39.7462505,-105.0022825,Kimpton Hotel Born,39.752553747042846,-105.0023701786995,Hotel
97,Auraria,39.7462505,-105.0022825,LoDo,39.75137783129078,-104.99659813608734,Neighborhood
98,Auraria,39.7462505,-105.0022825,Denver Union Station,39.753264449141014,-105.00021255412462,Train Station
99,Auraria,39.7462505,-105.0022825,Le Méridien Denver Downtown,39.74426147133747,-104.99383807182306,Hotel
100,Auraria,39.7462505,-105.0022825,Smashburger,39.74878731870514,-104.99696107771348,Burger Joint
101,Auraria,39.7462505,-105.0022825,The Cooper Lounge,39.75305569485879,-105.00002361333344,Lounge
102,Auraria,39.7462505,-105.0022825,Mellow Mushroom,39.748819,-104.996694,Pizza Place
103,Auraria,39.7462505,-105.0022825,Milk Market,39.75319755298628,-104.99714161399996,Restaurant
104,Auraria,39.7462505,-105.0022825,P.F. Chang's,39.749278510196454,-104.99973021447653,Chinese Restaurant
105,Auraria,39.7462505,-105.0022825,Whole Foods Market,39.75443642885084,-105.00167482857749,Grocery Store
106,Auraria,39.7462505,-105.0022825,Hopdoddy Burger Bar Denver,39.753689089934305,-104.99913261897342,Burger Joint
107,Auraria,39.7462505,-105.0022825,Huckleberry Roasters,39.75360933682156,-104.99672124740957,Coffee Shop
108,Auraria,39.7462505,-105.0022825,Vesta Dipping Grill,39.75269860402281,-104.99616548620337,American Restaurant
109,Auraria,39.7462505,-105.0022825,Tupelo Honey,39.75397528724385,-105.00169804316353,Southern / Soul Food Restaurant
110,Auraria,39.7462505,-105.0022825,Machete,39.75325082840811,-104.99916085790288,Mexican Restaurant
111,Auraria,39.7462505,-105.0022825,Ophelia's Electric Soapbox,39.75268587845134,-104.99212921035773,Lounge
112,Auraria,39.7462505,-105.0022825,Confluence Park,39.75448692690256,-105.00856943810193,Park
113,Auraria,39.7462505,-105.0022825,Guard and Grace,39.747519,-104.989814,Steakhouse
114,Auraria,39.7462505,-105.0022825,16th Street Mall,39.74612451277972,-104.99304343540136,Shopping Plaza
115,Auraria,39.7462505,-105.0022825,REI,39.755622,-105.009853,Sporting Goods Shop
116,Auraria,39.7462505,-105.0022825,Riverfront Park,39.75620698382686,-105.00466069319789,Park
117,Auraria,39.7462505,-105.0022825,Commons Park,39.75572827475747,-105.00562503168432,Park
118,Auraria,39.7462505,-105.0022825,Coors Field,39.75596646786702,-104.99417066574097,Baseball Stadium
119,Auraria,39.7462505,-105.0022825,My Brother's Bar,39.75623169184121,-105.00922029546224,Pub
120,Auraria,39.7462505,-105.0022825,Mind Eraser,39.74956155734978,-105.01388726041263,Theme Park Ride / Attraction
121,Auraria,39.7462505,-105.0022825,La Loma,39.74462304193088,-104.98764991486857,Mexican Restaurant
122,Auraria,39.7462505,-105.0022825,Sidecar,39.75359239612813,-104.99155981328694,Lounge
123,Auraria,39.7462505,-105.0022825,The Brown Palace Hotel and Spa,39.7439251,-104.9878805,Hotel
124,Auraria,39.7462505,-105.0022825,Ste. Ellie,39.75739989729396,-105.00841579144372,Cocktail Bar
125,Auraria,39.7462505,-105.0022825,Pacific Mercantile,39.75163502438047,-104.99265671509613,Grocery Store
126,Auraria,39.7462505,-105.0022825,Hyatt Place Denver/Downtown,39.74181215959918,-104.99277747668543,Hotel
127,Auraria,39.7462505,-105.0022825,Children's Museum of Denver,39.748706891446325,-105.01706134102001,Museum
128,Auraria,39.7462505,-105.0022825,Colt & Gray,39.757468441981054,-105.00825911618836,American Restaurant
129,Auraria,39.7462505,-105.0022825,Marco's Coal Fired | Ballpark,39.75441768710647,-104.99080521209869,Pizza Place
130,Auraria,39.7462505,-105.0022825,Biker Jim's Gourmet Dogs,39.754449,-104.9904,Hot Dog Joint
131,Auraria,39.7462505,-105.0022825,Denver Beer Co.,39.75821456866357,-105.00728469146935,Brewery
132,Auraria,39.7462505,-105.0022825,Sushi Sasa,39.75670112214983,-105.00936667368005,Sushi Restaurant
133,Auraria,39.7462505,-105.0022825,Platte River Bridge,39.75637754275113,-105.00685424340458,Bridge
134,Auraria,39.7462505,-105.0022825,Etai's,39.74869952003469,-104.99338773390133,Bakery
135,Auraria,39.7462505,-105.0022825,Triangle Bar,39.749878056247255,-104.98736458186862,Bar
136,Auraria,39.7462505,-105.0022825,Starbucks,39.75324561301786,-105.0029341422231,Coffee Shop
137,Auraria,39.7462505,-105.0022825,Great Divide Brewing Co.,39.753542376604024,-104.98842983751992,Brewery
138,Auraria,39.7462505,-105.0022825,The Molecule Effect,39.735385812207255,-104.99878118572732,Café
139,Auraria,39.7462505,-105.0022825,Denver Ted’s Cheesesteaks,39.75296448193603,-104.99058278470365,Sandwich Place
140,Auraria,39.7462505,-105.0022825,Gyu-Kaku Japanese BBQ,39.755023,-105.00124699999999,Japanese Restaurant
141,Auraria,39.7462505,-105.0022825,Starbucks,39.75501465,-105.0091045,Coffee Shop
142,Auraria,39.7462505,-105.0022825,Snooze,39.755667931131775,-104.98904994591709,Breakfast Spot
143,Auraria,39.7462505,-105.0022825,Proto's Pizza-Denver,39.75679712905078,-105.00893734680209,Pizza Place
144,Auraria,39.7462505,-105.0022825,NATIV Hotel,39.75134095894218,-104.99984085198048,Hotel
145,Auraria,39.7462505,-105.0022825,Boomerang,39.748359799818886,-105.0143636281071,Theme Park Ride / Attraction
146,Auraria,39.7462505,-105.0022825,Cuba Cuba,39.73520488891748,-104.9932311376163,Cuban Restaurant
147,Auraria,39.7462505,-105.0022825,Empower Field at Mile High,39.743891874642756,-105.02010938724965,Football Stadium
148,Auraria,39.7462505,-105.0022825,Denver Art Museum,39.73647919918744,-104.98871184041062,Art Museum
149,Auraria,39.7462505,-105.0022825,Inside Scoop Creamery,39.756965711173414,-105.008609749463,Ice Cream Shop
150,Auraria,39.7462505,-105.0022825,Bronzed Denver,39.736169,-104.992698,Tanning Salon
151,Auraria,39.7462505,-105.0022825,Habit Carbon,39.757345,-105.008493,Coffee Shop
152,Auraria,39.7462505,-105.0022825,The Truffle Table,39.75812885138886,-105.01164282658492,Wine Bar
153,Auraria,39.7462505,-105.0022825,Woods Boss Brewing,39.75091918951437,-104.9845408731517,Brewery
154,Auraria,39.7462505,-105.0022825,El Five,39.759196100717645,-105.01130134557133,Tapas Restaurant
155,Auraria,39.7462505,-105.0022825,The River,39.73574341251683,-104.99275241546601,Yoga Studio
156,Auraria,39.7462505,-105.0022825,Magnolia Hotel,39.7466679,-104.9921944,Hotel
157,Auraria,39.7462505,-105.0022825,Just BE,39.75607851820499,-105.00904641049506,Café
158,Auraria,39.7462505,-105.0022825,Platte River Trail,39.75594882538922,-105.00697169152053,Trail
159,Auraria,39.7462505,-105.0022825,Ian's Pizza,39.756278886031176,-104.99185883492278,Pizza Place
160,Auraria,39.7462505,-105.0022825,Ohana Island Kitchen,39.7582776,-105.0113466,Hawaiian Restaurant
161,Auraria,39.7462505,-105.0022825,Ergun Tercan European Salon,39.757378,-105.010711,Salon / Barbershop
162,Auraria,39.7462505,-105.0022825,Little Man Ice Cream,39.75954542123902,-105.01117679477785,Ice Cream Shop
163,Auraria,39.7462505,-105.0022825,King Soopers,39.7568618,-104.9988979,Grocery Store
164,Auraria,39.7462505,-105.0022825,Fitness in the City,39.73577439271511,-104.99259903609446,Gym / Fitness Center
165,Auraria,39.7462505,-105.0022825,Strange Craft Beer Company,39.73724255225483,-105.01489115393258,Brewery
166,Auraria,39.7462505,-105.0022825,The Station Hair Studio,39.734215999999996,-104.992604,Spa
167,Auraria,39.7462505,-105.0022825,The Bindery,39.76048534656041,-105.00635446388772,New American Restaurant
168,Auraria,39.7462505,-105.0022825,Kindness Yoga,39.75722480952117,-105.00877385641678,Yoga Studio
169,Auraria,39.7462505,-105.0022825,Mercury Cafe,39.75082327740669,-104.98530589978559,Music Venue
170,Baker,39.7102621,-104.9899941,Denver Biscuit Company,39.713770448726734,-104.98777802798698,Breakfast Spot
171,Baker,39.7102621,-104.9899941,Livwell,39.7087,-104.98746,Marijuana Dispensary
172,Baker,39.7102621,-104.9899941,Bardo Coffee House,39.71226567056866,-104.98735122992179,Coffee Shop
173,Baker,39.7102621,-104.9899941,Illegal Pete's South Broadway,39.7117682717818,-104.98718683054386,Mexican Restaurant
174,Baker,39.7102621,-104.9899941,Lucile's Creole Cafe,39.7113636002508,-104.98290888884782,Cajun / Creole Restaurant
175,Baker,39.7102621,-104.9899941,Atomic Cowboy,39.71384571985471,-104.98768807611012,Bar
176,Baker,39.7102621,-104.9899941,Mason at Alameda Station,39.71156073679302,-104.99292231930252,Residential Building (Apartment / Condo)
177,Baker,39.7102621,-104.9899941,MUTINY Information Cafe,39.71647387382231,-104.9873170524012,Bookstore
178,Baker,39.7102621,-104.9899941,Syntax Physic Opera,39.70654678406538,-104.98749791399278,Bar
179,Baker,39.7102621,-104.9899941,Sweet Action Ice Cream,39.71754384114271,-104.98735185483699,Ice Cream Shop
180,Baker,39.7102621,-104.9899941,Stranahan's Colorado Whiskey,39.71225253865977,-104.99857584514214,Distillery
181,Baker,39.7102621,-104.9899941,Beatrice & Woodsley,39.7158746375889,-104.98722556450753,American Restaurant
182,Baker,39.7102621,-104.9899941,Studio Urban Wax,39.7079319222122,-104.987389708004,Spa
183,Baker,39.7102621,-104.9899941,Goodwill Industries,39.715933458691175,-104.9877842528486,Thrift / Vintage Store
184,Baker,39.7102621,-104.9899941,Mayan Theatre,39.71870355792762,-104.9873424903361,Indie Movie Theater
185,Baker,39.7102621,-104.9899941,Indy Ink,39.71499676592245,-104.98740520837,Art Gallery
186,Baker,39.7102621,-104.9899941,Double Dutch Hair Studio,39.714465000000004,-104.98723000000001,Cosmetics Shop
187,Baker,39.7102621,-104.9899941,Fancy Tiger Clothing,39.717712302483484,-104.98767925748189,Clothing Store
188,Baker,39.7102621,-104.9899941,Go Fish,39.7166785161838,-104.98752932682629,Japanese Restaurant
189,Baker,39.7102621,-104.9899941,Gozo,39.715931930878234,-104.98728857868038,Restaurant
190,Baker,39.7102621,-104.9899941,Finley's Pub,39.709676003045715,-104.98057616560563,Sports Bar
191,Baker,39.7102621,-104.9899941,Carmine's on Penn,39.71495937209496,-104.98131035422212,Italian Restaurant
192,Baker,39.7102621,-104.9899941,Hope Tank,39.7177359443983,-104.9873693143278,Art Gallery
193,Baker,39.7102621,-104.9899941,Vert Kitchen,39.70378741215252,-104.98035545217482,Sandwich Place
194,Baker,39.7102621,-104.9899941,Stranahan's Whiskey Tour,39.71220846779672,-104.99853109291519,Whisky Bar
195,Baker,39.7102621,-104.9899941,Sobo 151,39.71355997721182,-104.98774296822894,Eastern European Restaurant
196,Baker,39.7102621,-104.9899941,Adrift Tiki,39.71257436834123,-104.98734525692932,Beach Bar
197,Baker,39.7102621,-104.9899941,Karma Asian,39.71616032868543,-104.98743066791481,Asian Restaurant
198,Baker,39.7102621,-104.9899941,CorePower Yoga,39.7208055,-104.9877806,Yoga Studio
199,Baker,39.7102621,-104.9899941,Sputnik,39.71642572256115,-104.98777255480846,Bar
200,Baker,39.7102621,-104.9899941,Rise & Shine,39.714969,-104.981196,Breakfast Spot
201,Baker,39.7102621,-104.9899941,Namaste An Aveda Concept Salon,39.71880208158261,-104.98767095625475,Salon / Barbershop
202,Baker,39.7102621,-104.9899941,Herban Underground,39.7178869,-104.987174,Marijuana Dispensary
203,Baker,39.7102621,-104.9899941,nooch vegan market,39.71652257171628,-104.98721324223676,Organic Grocery
204,Baker,39.7102621,-104.9899941,Needz,39.71895605783907,-104.98776672018698,Men's Store
205,Baker,39.7102621,-104.9899941,The UPS Store,39.7105331,-104.987838,Shipping Store
206,Baker,39.7102621,-104.9899941,Historic Grant Avenue,39.71269646377286,-104.98357149428962,Event Space
207,Baker,39.7102621,-104.9899941,The Skylark Lounge,39.71379253406505,-104.98742568483638,Dive Bar
208,Baker,39.7102621,-104.9899941,bittersweet,39.710925040375926,-104.98126307370634,American Restaurant
209,Baker,39.7102621,-104.9899941,Fancy Tiger Crafts,39.71771951941804,-104.98789178826176,Arts & Crafts Store
210,Baker,39.7102621,-104.9899941,Fat Sully's,39.71372150344287,-104.98770217318773,Pizza Place
211,Baker,39.7102621,-104.9899941,Decade,39.715483306968856,-104.9872526344162,Clothing Store
212,Baker,39.7102621,-104.9899941,Karmaceuticals,39.716522775488116,-104.99839377476016,Marijuana Dispensary
213,Baker,39.7102621,-104.9899941,Board Game Republic,39.71728869322335,-104.99908447265625,Bar
214,Baker,39.7102621,-104.9899941,Baere Brewing Co.,39.721379067603465,-104.98706855751888,Brewery
215,Baker,39.7102621,-104.9899941,Voodoo Doughnut Broadway,39.714901551286985,-104.98730151766938,Donut Shop
216,Baker,39.7102621,-104.9899941,MoxieEatery,39.717907416211105,-104.98742550697274,American Restaurant
217,Baker,39.7102621,-104.9899941,Pie Hole,39.71572565120206,-104.9871875689362,Pizza Place
218,Baker,39.7102621,-104.9899941,Metropolis Coffee Baker,39.71649677281532,-104.98765188513937,Coffee Shop
219,Baker,39.7102621,-104.9899941,TRVE Brewing Co.,39.71991862771068,-104.98763597463197,Brewery
220,Baker,39.7102621,-104.9899941,Chipotle Mexican Grill,39.71150569725132,-104.98309278771421,Mexican Restaurant
221,Baker,39.7102621,-104.9899941,Illuzion Glass,39.72013057230064,-104.98735148934674,Smoke Shop
222,Baker,39.7102621,-104.9899941,Imperial Chinese,39.70901380676905,-104.9878274311291,Chinese Restaurant
223,Baker,39.7102621,-104.9899941,Studio Lites,39.721108,-104.98823200000001,Lingerie Store
224,Baker,39.7102621,-104.9899941,The Hornet Restaurant,39.71810139999999,-104.987201,American Restaurant
225,Baker,39.7102621,-104.9899941,Punch Bowl Social,39.71792860000001,-104.9879806,Gastropub
226,Baker,39.7102621,-104.9899941,Candlelight Tavern,39.70960781867715,-104.98055503555935,Dive Bar
227,Baker,39.7102621,-104.9899941,Adorn Salon Denver,39.72019121113989,-104.98751790330418,Salon / Barbershop
228,Baker,39.7102621,-104.9899941,Rosebud Cafe,39.718138,-104.981248,Café
229,Baker,39.7102621,-104.9899941,Hi-Dive,39.71636229656294,-104.98781976875735,Rock Club
230,Baker,39.7102621,-104.9899941,Brewery Bar,39.719128000000005,-104.999854,Mexican Restaurant
231,Baker,39.7102621,-104.9899941,Country Club Liquors,39.71295961932234,-104.97594452253105,Liquor Store
232,Baker,39.7102621,-104.9899941,Massage Specialists,39.717859999999995,-104.98710700000001,Massage Studio
233,Baker,39.7102621,-104.9899941,Spur Coffee,39.71829527018675,-104.98652482209555,Coffee Shop
234,Baker,39.7102621,-104.9899941,Taki Sushi,39.71468911410103,-104.98219162691024,Sushi Restaurant
235,Baker,39.7102621,-104.9899941,Historians Ale House,39.717233190487505,-104.98732780506668,Bar
236,Baker,39.7102621,-104.9899941,Spicy Basil,39.716861174014674,-104.98759613724914,Asian Restaurant
237,Baker,39.7102621,-104.9899941,Washington Park,39.70145984831918,-104.97312030655681,Park
238,Baker,39.7102621,-104.9899941,Spot Bar & Grill,39.71476681191629,-104.98137483219222,Bar
239,Baker,39.7102621,-104.9899941,Orangetheory Fitness,39.69844522091815,-104.98306632041931,Gym
240,Baker,39.7102621,-104.9899941,Hungarian Freedom Park,39.71783821139603,-104.97712527333306,Park
241,Baker,39.7102621,-104.9899941,Wash Park Running Trail,39.70698009769455,-104.97294915635605,Track
242,Baker,39.7102621,-104.9899941,Swing Thai,39.711081312643365,-104.98198471005297,Thai Restaurant
243,Baker,39.7102621,-104.9899941,Caribou Coffee & Einstein Bros. Bagels,39.710572,-104.983646,Coffee Shop
244,Baker,39.7102621,-104.9899941,Leña,39.7172007434813,-104.9873592103172,Latin American Restaurant
245,Baker,39.7102621,-104.9899941,Pizzeria Locale,39.72525000502604,-104.98717024428274,Pizza Place
246,Baker,39.7102621,-104.9899941,Señor Burritos,39.71828508671704,-104.98712154483893,Mexican Restaurant
247,Baker,39.7102621,-104.9899941,Bang Salon,39.71144696663374,-104.97304062023773,Salon / Barbershop
248,Baker,39.7102621,-104.9899941,Wash Perk,39.7022049519705,-104.97705888812432,Coffee Shop
249,Baker,39.7102621,-104.9899941,Adelitas Cocina Y Cantina,39.69332222,-104.98714705,Mexican Restaurant
250,Baker,39.7102621,-104.9899941,Mile High Vienna Stand,39.72110800706963,-104.99841118250504,Hot Dog Joint
251,Baker,39.7102621,-104.9899941,Moe's Bagel,39.724917650939325,-104.98320623443496,Bagel Shop
252,Baker,39.7102621,-104.9899941,Trade,39.72394608169163,-104.99876128777436,Gay Bar
253,Baker,39.7102621,-104.9899941,Banded Oak Brewing,39.72376429040439,-104.98720538251557,Brewery
254,Baker,39.7102621,-104.9899941,Blackbird Public House,39.710878928981906,-104.97368924293438,American Restaurant
255,Baker,39.7102621,-104.9899941,Chain Reaction Brewery,39.699576951542156,-105.00133458143358,Brewery
256,Baker,39.7102621,-104.9899941,Dae Gee Korean BBQ,39.72355831337838,-104.9873688661035,Korean Restaurant
